pga,pgv,pgd,AriasIntensity,CAV,pgaviapgv,ArayaSaragoniIntensity,StrongMotionDurationATB,StrongMotionDurationROG,StrongMotionDurationBolt,P90,arms,characteristicIntensity,intensityFajfarVidicFischinger,intensityRiddelGarcia,spectralDisplacement,spectralAcceleration,spectralVelocity,HousnerIntensity,KapposIntensity,spectralEnergy,MISDR1stOrder
210.7975,19.0577,43.0183,26.2701,364.9024,11.061,1.0973,14.96,17.38,6.045,1.5858,31.4697,682.8166,37.4804,105.9978,5.7902,142.6612,30.5904,62.2455,14.5662,16.3185,0.32798
176.6698,21.1012,6.677,34.2124,500.1106,8.3725,1.5783,16.525,19.615,4.02,1.8644,34.1274,810.4479,42.5445,17.0071,8.1264,200.0382,40.8541,76.6331,20.4245,33.5474,0.54443
258.2629,14.1492,27.9175,35.836,304.8737,18.2528,0.1758,5.04,6.195,4.585,6.4207,63.3546,1132.0938,21.2002,47.8652,2.1852,54.5533,19.2032,30.6621,6.0342,2.0198,0.33523
480.9473,36.7569,21.8339,90.2378,399.5693,13.0845,0.34262,3.08,3.64,5.365,26.4223,128.5429,2557.6889,48.6941,31.7673,5.6167,138.1115,34.5002,73.0727,14.8912,7.8579,0.44877
394.7445,31.9158,5.4468,158.4723,847.5544,12.3683,0.50157,7.325,8.16,10.27,19.4714,110.3034,3135.3567,52.5058,10.5782,9.6245,238.0514,53.8837,88.784,24.3543,18.5457,1.0361
433.8499,26.6662,3.6361,171.8923,861.5354,16.2697,0.72011,7.61,8.445,11.055,20.3217,112.6928,3300.1701,44.2902,7.1521,4.7652,119.0584,42.5788,76.4854,12.9854,11.0331,0.64422
250.9149,9.5727,1.0704,82.2131,527.4461,26.2115,0.55956,4.07,7.395,5.085,18.2298,106.7582,2225.3533,13.5967,1.709,0.94989,24.4466,11.3265,16.6158,2.4179,1.6591,0.12408
387.3997,12.6766,1.8933,93.2829,551.5025,30.5601,0.44091,5.525,6.79,6.1,15.2152,97.5227,2263.7295,19.4351,3.347,1.7502,44.0737,18.9371,24.3463,4.2595,2.5099,0.1987
130.38,42.3558,47.1507,23.5503,481.0028,3.0782,0.18257,29.7,31.155,28.665,0.71359,21.1119,528.65,98.8786,146.0182,4.7382,116.8247,20.2592,50.7459,11.7577,4.8728,1.0074
206.4705,13.554,31.3569,32.9132,585.8632,15.2332,0.23146,32.365,35.615,32.395,0.91534,23.909,665.0884,32.3285,99.929,3.8749,96.0123,23.7223,35.5668,9.1514,3.7287,0.2806
