PGA,PGV,PGD,I_A,CAV,\dfracPGAPGV,I_AS,SMD_TB,SMD_ROG,SMD_Bolt,P_90,a_rms,I_c,I_FVF,I_RG,SI_H,DI_PA
291.9309,129.2004,422.4206,104.9564,568.6103,2.2595,5.5120000000000005,5.95,6.825,7.455,15.9349,99.7246,2429.1925,201.787,765.451,238.7758,0.974
42.7382,4.4403,1.3997,4.584,270.8964,9.625,0.22629000000000002,34.91,42.49,0.0,0.11831000000000001,8.5969,148.9312,10.7932,4.5747,25.0134,0.051000000000000004
345.9185,75.6005,57.1066,175.1686,998.7837,4.5756,2.3741,6.98,11.45,13.135,22.5886,118.6634,3415.0943,122.882,109.1369,147.0348,0.878
60.2797,1.24,0.10177000000000001,0.7481700000000001,28.0191,48.6113,0.0014548,1.7000000000000002,2.22,0.0,0.39740000000000003,15.7768,81.7059,1.4159000000000002,0.12146000000000001,2.107,0.025
144.4176,23.7534,95.9462,54.9369,877.0294,6.0799,5.3758,32.65,35.89,20.59,1.5166,30.7801,975.7675,56.7802,306.6589,101.8196,0.151
464.0917,56.2591,92.3287,132.6148,709.3318,8.2492,1.6254,8.585,11.465,13.725,13.9019,93.1995,2636.2722,96.3003,189.053,105.5536,0.17
365.1756,41.4599,8.1406,240.2322,1293.0013,8.8079,5.1049,9.89,13.32,16.28,21.8574,116.864,3973.0059,73.5237,17.4739,151.2443,0.187
162.0538,57.1276,280.5956,137.2602,1409.945,2.8367,14.6549,27.67,31.205,31.255,4.4644,52.7945,2017.8444,131.0233,848.6929,142.6946,1.178
111.7236,8.3787,0.81576,11.1969,249.4096,13.3343,0.057148,5.86,14.72,2.465,1.7203,32.7917,454.5629,13.0361,1.4707,21.6036,0.031
472.2084,40.9528,16.4014,212.7644,1008.5547,11.5306,2.3125,6.59,9.835,11.55,29.0742,134.6365,4010.3944,65.6153,30.7499,188.3504,0.405
80.9888,14.0881,79.381,22.4429,625.3076,5.7487,1.6557,43.895,47.86,3.795,0.46015000000000006,16.9509,462.3758,36.2624,280.0196,60.0778,0.154
146.9717,9.771,1.1584,33.9448,497.3651,15.0417,1.0315,13.035,16.65,7.0,2.3437,38.2649,854.5861,18.5658,2.7262,34.9339,0.04
358.421,11.3788,1.17,120.3817,821.7814,31.499,0.7866200000000001,9.48,11.76,12.95,11.4337,84.5469,2393.5943,19.9664,2.4763,32.9918,0.041
278.2916,27.6156,18.1481,122.5059,916.5267,10.0773,0.77088,10.5768,14.9643,16.0251,10.4245,80.7005,2357.7149,49.8015,39.8367,78.5199,0.082
262.3112,48.9139,23.4343,109.5605,722.0197,5.3627,1.7312,8.725,11.94,9.565,11.3198,84.1006,2278.1468,84.0666,48.2437,146.7919,0.424
179.2488,9.0662,3.8782,20.3551,268.9052,19.7711,0.09931699999999999,6.14,9.2,4.08,2.9882,43.2145,703.928,14.2714,7.1016,20.4068,0.026000000000000002
124.7849,48.0434,216.9119,78.5599,1038.6443,2.5973,8.033,32.07,33.315,34.675,2.204,37.1012,1279.7673,114.3294,689.1543,113.9884,1.124
743.6543,39.1547,15.0288,649.7936,2117.4981,18.9927,7.1021,12.8,15.695,22.405,45.715,168.9978,7860.0752,74.0605,35.1555,97.1162,0.139
32.7152,5.6035,2.8003,4.7292000000000005,249.0777,5.8384,0.22782000000000002,24.055,27.7,0.0,0.17714000000000002,10.5192,167.3312,12.4096,8.0835,31.9966,0.048
88.0128,15.4347,2.7161,23.8472,548.324,5.7023,3.215,21.2,28.2,6.15,1.0123,25.1485,580.6795,33.1194,7.5172,61.1956,0.091
231.2171,27.088,47.4867,215.6659,1969.1954,8.5358,5.7054,44.74,47.84,48.06,4.3502,52.1279,2517.4095,70.057,168.5793,107.0513,0.406
159.2317,12.5802,1.2854,10.5453,142.888,12.6573,0.6872600000000001,2.83,3.79,1.12,3.3563,45.8063,521.5315,16.3168,1.8182,31.9729,0.04
447.6922,51.4066,8.1165,535.9401,1814.6257,8.7088,7.2492,8.985,10.885,16.02,53.6533,183.1022,7426.7572,89.0018,16.8736,178.1976,0.227
