First_Shock,pga,pgv,pgd,AriasIntensity,CAV,pgaviapgv,ArayaSaragoniIntensity,StrongMotionDurationATB,StrongMotionDurationROG,StrongMotionDurationBolt,P90,arms,characteristicIntensity,intensityFajfarVidicFischinger,intensityRiddelGarcia,spectralDisplacement,spectralAcceleration,spectralVelocity,HousnerIntensity,KapposIntensity,spectralEnergy,DiPasqualeCakmak1stOrder
0.17453,51.2665,2.436,0.52608,2.0324,100.8773,21.0456,0.0071183,7.82,10.335,0.0,0.23408,12.0947,117.6233,4.0736,1.0442,0.83954,20.7366,5.6651,9.5498,2.0291,0.17217,0.17453
0.1405,56.8321,4.7041,0.54222,2.9541,122.6335,12.0815,0.012275,6.11,9.59,0.0,0.43537,16.4961,165.6122,7.3958,0.99126,1.144,28.5203,9.1248,13.9331,3.1508,0.34844,0.18081000000000003
0.010657,414.9597,28.7283,2.304,258.4836,900.4503,14.4443,1.1586,4.22,5.89,10.835,55.1576,185.7091,5198.8326,41.1754,3.7232,4.6922,117.2711,36.5249,79.1035,13.1173,9.9833,0.11496
0.041309,492.1652,32.5743,2.6007,286.7368,970.3598,15.109,1.116,4.64,6.395,12.29,55.6077,186.4311,5483.2325,47.8085,4.3377,5.7185,142.446,45.8348,73.2377,14.8031,13.218,0.17125
0.083519,7.5488,2.418,2.1647,0.15588,47.0897,3.1219,0.0035273,27.29,34.675,0.0,0.0051409,1.7917,12.5284,5.5266,6.5174,0.70982,17.4449,3.3807,5.9431,1.7136,0.13718,0.090207
0.098909,7.3831,2.538,2.5743,0.21916,58.9248,2.909,0.0055272,31.865,37.78,0.0,0.0061902,1.9662,15.563,6.0301,8.1612,0.81677,20.0896,3.6971,6.1458,1.8755,0.15549,0.098909
0.048268,16.0013,4.1232,2.1558,1.1644,123.3042,3.8808,0.1408,26.155,29.575,0.0,0.040073,5.0031,57.2319,9.3244,6.3992,1.837,45.1813,8.5017,15.9664,4.5843,1.7079,0.087006
0.19699,16.2399,4.2945,21.4775,1.2039,121.7558,3.7815,0.13361,27.465,29.06,0.0,0.039452,4.9642,57.9644,9.8313,64.8002,1.8733,46.071,9.8313,14.3594,4.9359,2.246,0.24198000000000003
0.22147,17.23,4.7846,11.4887,1.4239,140.2539,3.6012,0.26818,23.46,28.65,0.0,0.054628,5.8415,68.3842,10.5299,32.8888,2.5579,62.8394,11.9445,23.1969,5.6254,1.8074,0.27292
0.091766,23.7639,2.622,7.12,1.9497,177.8433,9.0634,0.094782,37.435,44.235,0.0,0.046873,5.4108,77.0063,6.4855,23.8182,0.51374,12.7923,3.8558,7.9808,1.327,0.17578,0.091766
0.21173,34.3109,4.4391,3.8051,3.8975,208.9709,7.7292,0.20788,16.29,19.725,0.0,0.21536,11.599,159.4376,8.9183,9.6459,0.87805,21.8341,6.1776,10.8887,2.3191,0.32262,0.21173
0.17848,17.2081,2.3459,16.9926,1.3347,146.0795,7.3353,0.082502,28.25,39.76,0.0,0.04252,5.1536,62.1834,5.4084,51.7526,1.2559,30.933,7.0628,10.7657,3.3616,0.9105,0.17848
0.10487,14.4236,2.2962,0.99816,1.3312,143.1936,6.2816,0.096403,26.025,33.445,0.0,0.046045,5.3628,63.3548,5.1862,2.958,1.4595,35.9362,8.5552,11.009,4.1629,1.2702,0.2308
0.091571,28.8702,3.5965,10.4505,2.3024,189.3901,8.0274,0.17086,26.41,39.035,0.0,0.078461,7.0007,95.1918,8.153,31.1214,1.9893,48.9771,10.3749,16.3802,4.4165,1.3969,0.14547000000000002
0.054072,90.7375,8.1583,1.7533,13.7573,384.6118,11.1221,0.28776,16.42,21.86,5.55,0.75414,21.7049,409.7545,16.4227,4.4564,4.1366,101.927,20.9695,40.8714,10.1546,7.0869,0.089099
0.093255,70.4178,7.3233,1.8801,10.7237,345.2266,9.6156,0.28433,17.155,22.295,5.485,0.56263,18.7477,336.2147,14.904,4.849,7.5998,187.0044,38.4797,40.6115,15.1437,22.5192,0.093255
0.2144,118.6747,11.5465,3.5591,19.499,388.8025,10.278,2.3061,15.82,19.245,9.235,1.1107,26.3415,537.7287,23.0278,8.9345,6.1257,150.5266,28.0696,62.1385,13.246,13.3003,0.2144
0.15461,119.2764,14.2866,4.3374,23.2918,408.9436,8.3488,1.8257,14.98,16.91,11.75,1.4,29.5681,622.2888,28.1065,10.6923,4.8825,119.7148,29.1502,73.4112,12.6395,9.2138,0.40581000000000006
0.080937,58.119,1.9353,0.10101,0.85672,34.6921,30.0305,0.0016113,1.54,1.975,0.0,0.50152,17.7256,92.6111,2.1559,0.11664,0.11667,2.9289,2.2448,2.4994,0.28745,0.018674,0.080937
0.40361,54.0946,3.5793,6.856,6.1586,189.4214,15.113,0.045206,10.705,12.935,3.85,0.51833,17.9953,249.7662,6.4744,15.11,0.43264,10.9102,4.1578,9.5487,1.1792,0.2103,0.50502
0.40822,68.219,3.8066,0.67733,6.4512,186.3243,17.9212,0.058256,10.325,12.82,5.715,0.56238,18.7453,260.7857,6.8236,1.4749,0.55996,13.9325,4.3137,10.1531,1.4508,0.23424,0.50971
0.46833,39.0933,4.6779,1.5446,2.0923,131.7304,8.3571,0.065712,18.06,22.79,0.0,0.10426,8.0698,97.4219,9.6433,4.0525,1.034,25.4555,5.8117,16.7652,3.0477,0.41872,0.56066
0.54078,32.137,3.3654,1.1427,1.7078,121.5709,9.5492,0.053066,16.75,20.47,0.0,0.091785,7.5721,85.2777,6.8084,2.9237,1.3569,33.3569,7.6853,14.1183,3.3249,0.91648,0.6926800000000001
