DI_PA_1st,PGA,PGV,PGD,I_A,CAV,\dfracPGAPGV,I_AS,SMD_TB,SMD_ROG,SMD_Bolt,P_90,a_rms,I_c,I_FVF,I_RG,SI_H,DI_PA
0.037,627.2587,40.3821,84.6427,345.5482,1574.2646,15.5331,8.9928,19.95,22.455,28.065,15.5893,98.6801,4378.403,85.3444,229.564,104.436,0.134
0.026000000000000002,231.2171,27.088,47.4867,215.6659,1969.1954,8.5358,5.7054,44.74,47.84,48.06,4.3502,52.1279,2517.4095,70.057,168.5793,107.0513,0.41000000000000003
0.424,382.3488,22.0966,2.2836,94.8179,583.7098,17.3035,2.4303,4.73,7.37,7.6850000000000005,18.0581,106.2445,2381.718,32.5868,3.8333,71.1447,0.445
0.091,226.9786,20.3759,34.5322,89.0089,688.3692,11.1396,1.4072,10.2,12.06,11.38,7.8792,70.2169,1879.1539,36.4138,74.8901,86.4244,0.167
0.772,688.3754,66.3145,27.8226,528.394,1420.9888,10.3805,0.87585,6.3822,8.0058,10.329,74.513,215.7656,8006.7936,105.4026,51.6085,215.4589,1.061
0.406,82.0758,5.5329,3.7981,8.3711,262.6409,14.8342,0.049678,17.34,22.96,0.965,0.43463,16.4776,278.5264,11.2905,9.8305,18.088,0.41600000000000004
0.308,627.2587,40.3821,84.6427,345.5482,1574.2646,15.5331,8.9928,19.95,22.455,28.065,15.5893,98.6801,4378.403,85.3444,229.564,104.436,0.41300000000000003
0.125,837.7561,99.0502,38.5572,1182.176,3119.2837,8.4579,15.3078,16.54,19.78,26.8,64.4134,200.6897,11562.6002,199.751,98.2391,327.3705,0.9570000000000001
0.04,633.9869,40.1412,99.0478,347.424,888.418,15.7939,7.1159,3.68,5.715,8.185,84.9909,230.5433,6715.1028,55.5972,152.9188,142.4266,0.2
0.227,85.7137,6.1268,0.5387700000000001,4.1352,107.1196,13.9899,0.12231000000000002,4.985,8.39,0.35000000000000003,0.7547400000000001,21.7187,225.9869,9.1548,0.92037,12.2958,0.227
0.044,41.9322,4.0717,4.4637,2.63,142.1334,10.2984,0.036500000000000005,12.97,19.36,0.0,0.18253000000000003,10.6779,125.6611,7.727,10.4875,11.6263,0.045
0.04,438.7398,36.9881,8.4388,184.1456,673.6942,11.8616,2.4454000000000002,4.535,6.48,8.42,36.5804,151.2295,3960.4382,53.9767,13.9681,150.3937,0.165
0.035,96.2036,7.9067,2.0437,16.0029,445.2428,12.1674,1.0608,23.46,32.47,4.47,0.6145700000000001,19.5941,420.0995,17.4011,5.8504000000000005,36.7097,0.056
0.025,154.6392,24.9864,169.4724,101.5669,1213.4206,6.1889,21.0558,30.74,36.24,24.33,2.9782,43.133,1570.6042,58.8342,530.8847,119.6334,0.229
