DI_DC_1st,PGA,PGV,PGD,I_A,CAV,\dfracPGAPGV,I_AS,SMD_TB,SMD_ROG,SMD_Bolt,P_90,a_rms,I_c,I_FVF,I_RG,SI_H,DI_DC
0.024992,492.7385,44.5154,5.0581,529.8105,1794.3542,11.0689,6.6614,9.815,12.035,16.74,48.5881,174.2403,7205.5664,78.7921,10.8296,120.8907,0.35855000000000004
0.15697000000000003,245.6409,10.5809,61.1153,22.5318,242.1739,23.2154,0.28600000000000003,5.215,8.28,1.865,3.9023,49.3638,792.0262,15.9896,105.9826,24.9898,0.15697000000000003
0.30404000000000003,249.1429,47.5613,48.8449,229.6128,1984.604,5.2384,0.9057100000000001,26.7,32.34,34.145,7.7408,69.5306,2995.8439,108.1139,145.99,128.0027,0.5669000000000001
0.09222000000000001,471.9617,38.5467,5.6521,176.5783,739.6713,12.2439,1.0441,5.465,9.14,12.89,29.1908,135.0141,3667.4448,58.9366,9.9558,102.6906,0.28175
0.43319,248.2343,49.5516,589.4754,95.5524,1108.3231,5.0096,10.5331,32.61,37.085,31.955,2.6372999999999998,40.5863,1476.5365,118.4119,1883.2847,103.7145,0.5498700000000001
0.046770000000000006,278.2916,27.6156,18.1481,122.5059,916.5267,10.0773,0.77088,10.5768,14.9643,16.0251,10.4245,80.7005,2357.7149,49.8015,39.8367,78.5199,0.16778
0.08681000000000001,170.8776,12.5492,1.318,19.3886,314.0057,13.6166,1.2762,8.815,12.205,5.795,1.9799,35.173,619.3346,21.6233,2.7227,33.8669,0.11601000000000002
0.11797,37.4735,5.3548,17.6955,4.573,234.7678,6.9982,0.14032,26.395,28.15,0.0,0.15598,9.8694,159.2921,12.1373,52.6871,24.9503,0.36739000000000005
0.50709,617.6512,30.7647,3.5287,213.8482,777.668,20.0766,0.8950100000000001,3.42,6.36,12.165,56.3331,187.7042,4755.8065,41.8368,5.3165,87.0651,0.50709
0.29715,263.8204,44.2647,19.697,80.7711,765.9119,5.9601,3.3113,12.565,19.325,13.83,5.7911,60.1508,1653.6484,83.3391,45.7918,155.2392,0.40436000000000005
0.1187,504.4549,52.3934,15.1207,316.3043,1488.4212,9.6282,20.0185,8.54,13.62,17.74,33.3305,144.4441,5073.1631,89.5655,30.907,228.9176,0.53935
0.47099,320.6725,44.3387,165.7083,192.269,1149.4475,7.2323,14.4797,14.76,15.57,16.175,11.7232,85.5242,3038.6199,86.907,406.4805,207.8336,0.54517
0.069369,483.6323,31.1103,2.4009,137.1271,862.5703,15.5458,0.59548,10.42,13.93,13.8,11.8581,86.0959,2578.7392,55.8947,5.2439,70.6137,0.22004
0.12998,492.7385,44.5154,5.0581,529.8105,1794.3542,11.0689,6.6614,9.815,12.035,16.74,48.5881,174.2403,7205.5664,78.7921,10.8296,120.8907,0.23570000000000002
0.064096,162.0538,57.1276,280.5956,137.2602,1409.945,2.8367,14.6549,27.67,31.205,31.255,4.4644,52.7945,2017.8444,131.0233,848.6929,142.6946,0.55739
0.041670000000000006,210.0352,34.1795,290.1803,112.6615,1124.0386,6.1451,18.6832,26.11,34.95,11.22,3.8963,49.3377,1770.8074,77.2623,860.8686,145.3767,0.40473000000000003
0.17297,117.6247,12.6579,4.7182,19.4311,349.7255,9.2926,0.20024000000000003,10.41,15.855,5.63,1.6800000000000002,32.3987,594.9995,22.7366,10.3022,47.2821,0.1756
0.27259,208.3991,37.6447,54.5086,87.8574,919.8315,5.536,3.5156,19.505,21.48,23.015,4.0541,50.3185,1576.3951,79.1116,146.7282,100.5531,0.6208400000000001
0.051815,847.5315,67.6879,21.1193,567.2129,1467.9068,12.5212,0.8614700000000001,6.9564,8.547,10.3224,73.3833,214.1785,8267.1523,109.9276,40.3157,204.3608,0.6062700000000001
0.051885999999999995,94.1207,39.3336,387.9474,67.2144,1152.2636,2.3929,8.3023,42.89,45.23,34.02,1.4102000000000001,29.6748,1058.6665,100.6591,1357.9741,93.5425,0.5286000000000001
0.092738,273.2688,35.8114,14.623,104.3195,890.361,7.6308,6.3446,13.275,19.96,11.44,7.0727,66.4726,1974.6099,68.3566,34.6243,125.7451,0.50529
0.0,620.4955,17.7623,3.1831,100.567,717.9525,34.9333,1.1038000000000001,7.53,10.72,12.28,12.0463,86.7891,2218.6841,29.4237,6.2389,72.9047,0.22663000000000003
0.34571,821.5216,43.6399,5.2388,597.0982,1912.5742,18.825,7.3635,12.25,14.02,19.06,43.8578,165.554,7455.5161,81.6428,12.0765,142.6773,0.34571
0.25298000000000004,109.992,1.8813,2.9148,3.6819,76.0613,58.4675,0.0046935,3.265,4.825,1.29,1.0161,25.21,228.7181,2.5288,4.3242,2.8384,0.39699
0.09325499999999999,158.4368,15.1629,24.1784,30.7014,433.6738,10.449,0.14361000000000002,12.34,14.315,8.085,2.2409,37.4139,803.9082,28.4191,55.8726,68.8233,0.13241
0.17319,976.0419,67.401,24.2975,652.0632,1643.896,14.4811,14.3539,5.69,7.48,15.13,103.3053,254.0048,9656.4831,104.0985,43.3776,338.7328,0.49870000000000003
0.48981,44.1972,7.9751,3.4076,4.4705,235.4942,5.5419,0.28044,25.575,27.85,0.0,0.15734,9.9123,157.8216,17.9345,10.0398,26.9916,0.5844100000000001
0.08497,60.2797,1.24,0.10177000000000001,0.7481700000000001,28.0191,48.6113,0.0014548,1.7000000000000002,2.22,0.0,0.39740000000000003,15.7768,81.7059,1.4159000000000002,0.12146000000000001,2.107,0.087465
0.29286,158.4368,15.1629,24.1784,30.7014,433.6738,10.449,0.14361000000000002,12.34,14.315,8.085,2.2409,37.4139,803.9082,28.4191,55.8726,68.8233,0.38661
0.0,174.8716,14.7503,10.6082,29.499,414.7112,11.8554,0.34625,9.47,16.83,3.99,2.8034,41.8533,833.2379,25.8755,22.4436,52.4499,0.16908
0.24527000000000002,78.7693,3.3269,2.1954000000000002,14.0204,383.3325,23.6766,0.19989,22.205,26.19,5.545,0.5683100000000001,18.8413,385.3836,7.2219,6.1706,10.641,0.35852
0.046341,72.3857,1.5664,0.09411699999999999,1.7570000000000001,70.257,46.2112,0.0028206999999999998,4.65,6.58,0.39,0.34012000000000003,14.5821,120.0764,2.3002000000000002,0.15709,2.7039,0.053085999999999994
0.37337000000000004,414.2005,26.5829,2.3155,146.7154,692.343,15.5815,1.0731,6.035,8.55,10.715,21.8798,116.9429,3106.7018,41.665,4.2157,56.3856,0.37337000000000004
0.41497000000000006,45.9456,9.0507,103.4173,5.4571,246.3931,5.0764,0.28883000000000003,24.18,31.12,0.0,0.20324,11.267900000000001,185.9917,20.07,299.0511,30.0064,0.44939
0.5846800000000001,821.5216,43.6399,5.2388,597.0982,1912.5742,18.825,7.3635,12.25,14.02,19.06,43.8578,165.554,7455.5161,81.6428,12.0765,142.6773,0.60124
0.03366,472.2084,40.9528,16.4014,212.7644,1008.5547,11.5306,2.3125,6.59,9.835,11.55,29.0742,134.6365,4010.3944,65.6153,30.7499,188.3504,0.43473000000000006
0.37988000000000005,58.1707,1.8904,0.6308900000000001,4.1876,247.7154,30.7716,0.013529,27.81,37.725,0.025,0.13555,9.2014,147.1919,4.3411,1.9114,5.8114,0.37988000000000005
