HI,PGA,Vmax/amax,ASI,TSIGN,TBRAC,PP,CAV,SED,TUD,EPA,PGV,PGD,Ia,Htot,ecc_tot,Vw1,Vw2,class_3
0.318215,0.237962,0.348455,0.331224,0.32956,0.342882,0.143719,0.372887,0.141766,0.358113,0.332467,0.268978,0.258385,0.173172,0,0,0,0,B
0.20436,0.336199,0.09743,0.348433,0.255293,0.217561,0.119784,0.268952,0.029022,0.224013,0.352604,0.17175,0.057678,0.123634,0,0,0,0,C
0.348786,0.460603,0.177961,0.582588,0.148761,0.187287,0.168871,0.383107,0.113569,0.311227,0.580581,0.329168,0.300463,0.298831,0,0,0,0,C
0.217405,0.243831,0.251625,0.322056,0.219603,0.178224,0.372977,0.232621,0.024295,0.161533,0.326466,0.216777,0.061854,0.107907,0,0,0,0,C
0.098052,0.120797,0.309623,0.131075,0.343792,0.014628,0.144395,0.108506,0.026179,0.015359,0.130468,0.12322,0.150742,0.019462,0,0,0.948052,0.95,A
0.345495,0.331772,0.239859,0.330082,0.376911,0.382722,0.274057,0.405542,0.082021,0.36471,0.332932,0.286693,0.154522,0.20673,0,0,0.948052,0.95,A
0.160743,0.056712,0.736509,0.050818,0.871188,0,0.863428,0.238233,0.046819,0,0.051186,0.120692,0.18325,0.029418,0,0,0.948052,0.95,A
0.14677,0.055122,0.688144,0.062889,0.526549,0,0.811465,0.157842,0.030881,0,0.062674,0.110224,0.089317,0.020674,0,0,0.948052,0.95,A
0.452843,0.245836,0.475084,0.250983,0.254791,0.261916,0.747467,0.302426,0.188302,0.283925,0.254565,0.355633,0.321784,0.160698,0,0,0.948052,0.95,A
0.082811,0.190127,0.049465,0.164113,0.131969,0.129264,0.019063,0.098594,0.003448,0.072245,0.16925,0.071654,0.015424,0.033538,0,0,0.948052,0.95,A
0.076247,0.323396,0,0.364675,0.178719,0.182243,0.134627,0.265233,0.007854,0.253141,0.369292,0.08674,0.025205,0.150933,0,0,0.948052,0.95,A
0.340621,0.552603,0.152228,0.632835,0.16821,0.201352,0.068751,0.305955,0.045559,0.269312,0.637207,0.360871,0.09985,0.237241,0,0,0.948052,0.95,B
0.03605,0.161882,0.004567,0.128489,0.113696,0.073193,0.044106,0.075759,0.001141,0.040572,0.132746,0.041699,0.00289,0.022166,0,0,0.948052,0.95,A
0.532848,0.531021,0.219726,0.642701,0.085568,0.160959,0.246841,0.322176,0.098394,0.281762,0.64738,0.435014,0.174153,0.343806,0,0,0.948052,0.95,B
1,0.839867,0.369588,0.878854,0.087491,0.223692,0.221545,0.468044,0.388463,0.348515,0.886782,1,0.380244,0.637349,0,0,0.948052,0.95,C
0.402219,0.421988,0.173128,0.440379,0.287322,0.329334,0.158891,0.372635,0.097712,0.355167,0.441385,0.296128,0.116795,0.256164,0,0,0.948052,0.95,A
0.201888,0.530435,0.080264,0.617196,0.085322,0.148221,0.233267,0.260163,0.01829,0.180266,0.620952,0.251959,0.044073,0.229914,0,0,0.948052,0.95,B
