MomentMag,Mech,VS30,RjbWork,Ia
5.2,2,461,252.83,0.000063
5.3,1,461,38.8,0.085751
5.1,1,461,79.99,0.01832
5.3,2,461,200.32,0.000364
5.2,1,461,201.33,0.000185
5.3,1,461,198.82,0.000117
6.5,1,461,44.67,2.0156
5.1,1,461,46.01,0.052951
5.2,2,506,125.84,0.000216
5.4,2,506,122.38,0.000255
5.4,3,506,277.78,0.000063
5.3,3,506,277.43,0.000022
4.8,1,506,296.5,0.000003
6.3,3,506,255.58,0.000334
6.1,2,506,250.6,0.000146
6.1,3,506,143.46,0.008384
5.5,1,506,153.15,0.000535
5.4,2,506,166.55,0.000449
6,2,718,7.9,11.5826
6,2,582,4.2,38.8933
6,2,1020,5,7.8892
5.3,1,543,76.14,0.025946
6.5,1,543,283.19,0.003954
5.1,1,543,285.48,0.000032
6,2,464,7.5,7.1676
4.7,2,464,12.4,0.025836
5.3,1,464,74.78,0.018306
6.5,1,464,285.79,0.003998
4.8,2,287,47.6,0.31499
5.3,2,305,238.55,0.000016
5.8,3,305,234.05,0.00017
5.8,1,305,236.12,0.001295
4.1,2,529,46,0.009045
4.1,2,529,21.4,0.059546
4.8,2,529,14.2,0.061097
5.5,2,529,91.77,0.008772
5.4,2,529,87.73,0.010207
5.4,2,585,164.63,0.000955
5.2,2,585,107.53,0.04907
5.4,2,585,109.7,0.12588
5.4,3,585,74.55,0.04462
5.3,3,585,75.64,0.014421
4.8,1,585,140.31,0.002898
6.1,2,585,153.51,0.011946
5,3,585,226.26,0.000061
5.3,3,585,171.31,0.001062
6.1,3,585,232.09,0.043092
5.5,1,585,246.05,0.000657
5.4,2,585,246.91,0.001382
5.2,2,584,106.86,0.05636
5.4,2,584,109.03,0.12842
5.4,3,584,74.27,0.045106
5.3,3,584,75.29,0.012396
4.8,1,584,141.13,0.003612
6.1,2,584,152.67,0.015128
5,3,584,225.27,0.000059
5.3,3,584,170.53,0.001154
6.1,3,584,231.1,0.036832
5.5,1,584,245.06,0.000716
5.4,2,584,245.91,0.001276
5.8,3,388,254.3,0.005671
5.4,3,388,71.28,0.24748
5.3,3,388,72.08,0.082232
4.8,1,388,145.49,0.012694
4.9,1,388,245.98299,0.001912
6.3,3,388,136.34,0.12456
6.1,2,388,148.3,0.066691
5,3,388,221.12,0.000419
5.3,3,388,166.21,0.008181
6.1,3,388,227.58,0.14382
5.5,1,388,241.55,0.003909
5.4,2,388,242.23,0.006983
6,1,517,2.39,435.0952
5.1,1,580,134.13,0.000189
5,3,580,235.55,0.000025
5.2,2,580,227.37,0.000034
5.3,2,580,227.39,0.000017
5.8,3,580,204.03,0.000114
5.8,1,580,289.58,0.000338
4.8,1,580,223.18,0.000068
4.9,1,580,191.636863,0.000058
5.4,2,580,23.98,0.41068
5.3,2,580,30.08,0.047896
6.1,1,580,174.64,0.004171
5.4,3,580,182.44,0.000143
6,1,580,182.32,0.002459
5.2,2,580,179.41,0.000093
5.3,1,580,126.75,0.002366
5.1,1,580,191.31,0.000119
5.3,2,580,80.05,0.009712
5.2,1,580,81.25,0.004838
5.3,1,580,78.69,0.004081
6.5,1,580,166.93,0.014734
5.1,1,580,167.42,0.000218
5,1,580,170.36,0.000116
5,1,580,177.1,0.000048
6,2,543,11.4,2.6563
5.2,2,307,15.1,2.5347
5.1,1,483,219.51,0.000175
5.2,2,483,243.99,0.000072
5.8,3,483,220.37,0.000634
5.8,1,483,248.65,0.002926
4.8,1,483,169.21,0.001048
4.9,1,483,198.489539,0.000386
5.3,2,483,111.29,0.004016
5,1,483,232.05,0.000051
6.1,1,483,278.72,0.002626
5.4,3,483,282.65,0.000092
6,1,483,289.2,0.002256
5.2,2,483,219.07,0.00023
5.3,1,483,241.68,0.000518
5.1,1,483,286.37,0.000093
5.3,2,483,77.35,0.020946
5.2,1,483,77.28,0.014525
5.1,2,483,249.7,0.000045
5.3,1,483,76.26,0.041431
6.5,1,483,274.66,0.007087
4.4,2,277,43,0.017339
4.4,2,277,20.1,0.21383
4.1,1,277,44.9,0.00466
4.2,2,277,86.5,0.001685
5.3,2,277,84.4,0.0726
4.5,2,277,83.6,0.005484
4.8,2,277,84.4,0.021682
4.4,2,397,43.6,0.0205
4.4,2,397,20.1,0.14339
4.1,1,397,45.7,0.003051
5.3,2,397,84.5,0.046516
4.5,2,397,83.7,0.004389
4.4,2,221,44.3,0.031626
4.4,2,221,20,0.16942
4.8,1,221,128.7,0.007926
5.3,2,221,84.7,0.10484
4.5,2,221,83.9,0.014602
4.8,2,221,84.7,0.034898
5.2,2,341,17.4,2.6901
6,2,341,27.8,16.8711
6.5,2,341,68.3,1.9054
5,1,438,86.64,0.002979
5.3,1,438,145.05,0.000686
5.1,1,438,272.21,0.000029
5.2,2,438,100.09,0.001166
5.3,2,438,104.36,0.000196
5,1,438,286.34,0.000103
5.8,1,438,44.85,0.51003
5.4,2,438,215.41,0.000074
6.9,1,438,80.9,3.4217
5.2,2,438,136.89,0.000577
5.3,2,438,164.09,0.000268
5.2,1,438,165.11,0.000509
5.1,2,438,128.34,0.001301
5.3,1,438,168.94,0.000797
5.1,1,290,211.86,0.000172
5.2,2,290,234.74,0.000119
5.3,2,290,236.54,0.000033
5.8,3,290,220.64,0.000352
5.8,1,290,245.73,0.003886
5.3,2,290,98.02,0.004209
6,1,290,283.52,0.002065
6.9,1,290,283.52,0.028105
5.2,2,290,207.84,0.000322
5.3,1,290,229.78,0.00068
5.3,2,290,65.47,0.014965
5.2,1,290,65.39,0.012207
5.1,2,290,252.44,0.000067
5.3,1,290,64.05,0.0298
6.5,1,290,264.92,0.007552
6.1,2,478,44.8,3.7033
6.5,2,478,71.6,1.0501
5.4,3,484,293.35,0.000198
6,1,484,284.83,0.001183
5.2,2,484,192.12,0.000049
5.3,1,484,206.06,0.000878
5.3,1,484,290.22,0.000027
6.5,1,484,244.4,0.008138
5.1,1,484,245.22,0.000325
4.4,2,268,18.9,0.23548
5.1,1,268,142.5,0.00479
4.8,1,268,128.1,0.006384
5.3,2,268,126.2,0.003863
5.3,2,268,85.4,0.055367
4.8,2,268,85.4,0.015996
5.4,2,543,69.38,0.006967
4.9,2,543,67.94,0.000552
5.3,2,543,68.5,0.001471
5,1,543,201.62,0.000012
5.4,3,543,205.67,0.000116
6,1,543,202.21,0.001626
5.2,2,543,113.26,0.000234
5.3,1,543,113.73,0.002693
5.1,1,543,219.74,0.000084
5.3,2,543,111.88,0.00204
5.2,1,543,112.71,0.000991
5.3,1,543,111.36,0.000233
6.5,1,543,170.43,0.011451
5.1,1,543,170.46,0.000163
5.1,1,244,221.91,0.000143
5.2,2,244,149.94,0.003306
5.3,2,244,147.46,0.002188
5.8,1,244,265.57,0.001654
5.4,2,244,109.46,0.005022
5.3,2,244,108.15,0.00121
6.1,1,244,216.11,0.046562
5.4,3,244,231.71,0.001531
5.2,2,244,91.43,0.004883
5.3,1,244,134.53,0.030417
5.1,1,244,246.92,0.000589
6.5,1,244,191.49,0.085909
5.1,1,244,191.37,0.001804
5.4,3,414,81.71,0.075296
5.3,3,414,79.99,0.041636
4.8,1,414,236.18,0.000128
6.1,2,414,66.19,0.20062
5.2,1,414,126.61,0.000361
5,3,414,127.38,0.000508
5.3,3,414,89.62,0.020181
6.1,3,414,146.01,0.1836
5.5,1,414,158.99,0.00411
5.4,2,414,156.16,0.007601
4.4,2,239,41.5,0.017115
4.3,2,239,8.5,1.0845
4.4,2,239,21.2,0.18542
4.8,1,239,130.4,0.003378
4.1,1,239,43.6,0.005384
4.2,2,239,87.9,0.001745
5.3,1,239,212.2,0.001426
5.3,2,239,83.1,0.044162
4.5,2,239,82.3,0.005966
4.8,2,239,83.1,0.01312
4.7,2,463,6.4,0.50631
5.2,2,463,14.8,0.67596
5.3,2,489,217.18,0.000087
5.3,2,489,185.47,0.000079
6.1,1,489,202.8,0.010829
5.4,3,489,221.71,0.000248
6,1,489,213.83,0.002386
5.2,2,489,167.27,0.000104
5.3,1,489,130.09,0.001128
5.1,1,489,238.4,0.000134
5.3,2,489,230.6,0.000239
5.2,1,489,231.4,0.000097
5.3,1,489,230.33,0.000036
6.5,1,489,173.13,0.020303
5.1,1,489,173.94,0.000635
6.4,3,589,43.8,0.48615
5.8,3,407,81.46,0.12603
4.8,1,407,47.26,0.12165
5.4,2,407,210.31,0.00104
4.9,2,407,213.81,0.000112
5.3,2,407,214.08,0.000234
5,1,407,184.38,0.000384
6,1,407,244.35,0.005308
5.3,1,407,268.86,0.000828
5.1,1,407,242.86,0.000336
5.3,2,407,221.91,0.00073
5.2,1,407,222.14,0.000549
5.3,1,407,219.16,0.001257
6.5,1,407,257.81,0.018591
5.1,1,407,272.27,0.000117
5.3,2,529,217,0.000095
5.4,2,529,105.55,0.01428
5.2,2,529,157.74,0.005813
5.4,2,529,159.53,0.019752
5.4,3,529,0,7.4225
5.3,3,529,0.15,8.5336
4.8,1,529,207.12,0.000239
6.3,3,529,88.34,0.12086
6.1,2,529,103.65,0.071751
5,3,529,199.35,0.000228
5.3,3,529,113.51,0.01342
6.1,3,529,228.74,0.011819
5.5,1,529,241.41,0.000313
5.4,2,529,237.24,0.0006
4.5,2,364,119.3,0.000659
4.8,2,364,135.1,0.001212
5.3,3,364,104.02,0.10686
4.8,1,364,227.68,0.002121
6.1,2,364,93.24,0.51436
5.2,1,364,144.54,0.004309
6.1,3,364,131.98,3.79
5.5,1,364,146.14,0.046381
5.4,2,364,146.46,0.15856
4.3,2,420,22.1,0.084697
5.5,3,420,63.5,0.53976
5.4,3,420,108.82,0.067102
5.3,3,420,107.79,0.025521
6.1,2,420,95.44,0.06287
5,3,420,129.14,0.00121
5.3,3,420,118.9,0.006603
6.1,3,420,129.1,0.38959
5.5,1,420,143.35,0.015932
5.4,2,420,143.97,0.022172
5.4,2,266,112.31,0.031725
5.2,2,266,78.4,0.50898
5.4,2,266,79.02,1.0492
5.4,3,266,106.08,0.25578
5.3,3,266,105.06,0.1107
6.1,2,266,94.55,0.40887
5.2,1,266,145.56,0.003021
