MM,Me,ln(Vs30),ln(RJB),ln(pgv_rot50)
6.4,1,6.091310,4.475062,0.22777282
5.4,2,6.228511,5.280866,-2.97759770
4.9,2,6.228511,5.273615,-3.96737717
5.0,1,6.228511,4.041647,-1.96048586
6.1,1,6.228511,2.025513,2.94564877
5.4,3,6.228511,1.979621,1.39331963
6.0,1,6.228511,2.428336,3.20014143
5.3,1,6.228511,4.565493,-1.42076159
5.1,1,6.228511,2.628285,1.81698852
5.2,1,6.228511,5.558217,-4.04944768
5.3,1,6.228511,5.548298,-4.05531618
6.5,1,6.228511,3.453790,1.79322506
5.1,1,6.228511,3.911423,-1.42324884
4.8,1,6.439350,2.476538,-0.31349231
4.7,1,6.439350,2.660260,-0.77375005
4.8,3,6.439350,2.602690,-0.34236356
4.4,1,6.439350,3.063391,-0.67629006
6.2,1,6.439350,4.271095,1.15171062
5.1,3,6.439350,4.378270,-1.07587280
5.4,3,6.439350,4.166665,-0.72827707
5.0,3,6.439350,2.901422,-0.30911002
5.7,3,6.439350,4.283587,-0.50982612
4.3,2,6.439350,3.081910,-0.44018078
4.5,1,6.439350,3.234749,-0.74751889
4.9,2,6.439350,2.459589,0.17931705
4.5,1,6.439350,2.873565,-0.58319920
5.6,3,6.439350,4.114147,-0.15744945
5.1,3,6.439350,4.099332,-0.93810187
5.5,3,6.439350,4.251348,-0.55357656
5.5,3,6.439350,4.251348,0.23964662
5.5,3,6.439350,4.278054,-1.02666379
5.7,3,6.439350,4.144721,0.62401144
5.4,3,6.439350,4.182050,0.03207989
4.3,1,6.439350,3.034953,-1.27600601
4.5,2,6.439350,2.028148,0.19037239
4.0,2,6.439350,3.095578,-0.69591100
4.3,1,6.439350,2.809403,-0.77245016
6.4,1,6.439350,4.483003,0.28020418
5.1,1,6.439350,3.234749,0.38281042
4.2,3,6.439350,3.230804,-1.27973856
6.0,1,6.439350,2.366498,3.80759539
5.1,1,6.439350,2.574138,1.28691592
5.3,2,6.439350,5.556789,-3.80734772
5.2,1,6.439350,5.561258,-4.17241422
5.3,1,6.439350,5.551369,-3.96521283
6.5,1,6.439350,3.462606,1.82936028
5.1,1,6.439350,3.916214,-1.55041457
5.0,1,6.439350,4.312409,-2.55199562
5.0,1,6.439350,3.435277,0.10804690
5.1,1,5.768321,4.266335,-1.62887561
5.2,2,5.768321,5.636609,-3.37655355
5.8,3,5.768321,5.153638,-2.11246072
4.8,1,5.768321,5.438340,-3.56928473
5.4,2,5.768321,4.452951,-1.19534348
5.4,3,5.993961,4.708629,-1.28254715
5.3,3,5.993961,4.693181,-1.48567281
4.8,1,5.993961,5.524137,-4.23092059
6.1,2,5.993961,4.316688,-0.72573236
5.2,1,5.993961,4.798184,-2.98234232
5.0,3,5.993961,4.678607,-3.04031132
5.3,3,5.993961,4.587312,-2.06972886
6.1,3,5.993961,4.766949,0.23602029
5.5,1,5.993961,4.874586,-1.73920497
5.2,2,5.991465,5.563869,-3.95461740
5.3,1,5.991465,5.289781,-2.29690128
5.1,1,5.991465,5.361949,-3.06035613
5.3,2,5.991465,4.840163,-1.75429029
5.2,1,5.991465,4.849292,-1.53651278
5.3,1,5.991465,4.822537,-1.64072220
6.5,1,5.991465,5.351621,-0.42918419
5.1,1,5.991465,5.390942,-3.32431968
6.0,3,5.840642,3.210844,0.50615473
4.5,2,5.840642,1.931521,-0.38394337
4.1,1,5.840642,3.144152,-0.42685219
5.4,2,6.047372,5.024341,-3.15507977
4.9,2,6.047372,5.009835,-4.59176050
5.0,1,6.047372,4.973280,-4.57706876
5.4,3,6.047372,4.710791,-2.44090508
6.0,1,6.047372,4.638218,-1.25498544
5.2,2,6.047372,5.413296,-4.57765230
5.3,1,6.047372,3.270709,-1.21254276
5.1,1,6.047372,4.850310,-2.93593623
5.2,1,6.047372,5.372357,-4.43847001
5.3,1,6.047372,5.361996,-4.55466720
6.5,1,6.047372,4.144087,-0.30450275
5.1,1,6.047372,4.161224,-2.29849348
5.1,1,5.730100,4.913978,-3.50190209
5.4,2,5.730100,5.034677,-2.95160056
5.3,2,5.730100,5.044843,-3.95670661
5.0,1,5.730100,4.980657,-3.96236938
6.1,1,5.730100,4.526668,-0.33998640
5.4,3,5.730100,4.714294,-1.95242130
6.0,1,5.730100,4.641213,-0.94107022
5.3,1,5.730100,3.328627,-0.58804870
5.1,1,5.730100,4.853514,-2.54072808
5.3,2,5.730100,5.376620,-3.62718247
5.2,1,5.730100,5.379436,-4.38627565
5.3,1,5.730100,5.369149,-4.45977198
6.5,1,5.730100,4.147253,-0.12605087
5.1,1,5.730100,4.164337,-1.88915182
5.0,1,5.730100,3.794140,-1.99649843
5.0,1,5.730100,4.467172,-2.78137925
4.8,1,6.133398,5.639919,-4.94393505
5.4,2,6.133398,4.921221,-2.58309296
4.9,2,6.133398,4.903421,-3.51499338
5.3,2,6.133398,4.936055,-3.21204918
5.0,1,6.133398,4.352855,-3.02724358
6.1,1,6.133398,3.974622,0.23341066
5.4,3,6.133398,4.195697,-1.59745994
6.0,1,6.133398,4.143611,0.14332082
5.2,2,6.133398,5.532717,-3.73212104
5.3,1,6.133398,3.658420,-0.47932696
5.1,1,6.133398,4.381902,-1.64335671
5.3,2,6.133398,5.299916,-3.26544346
5.2,1,6.133398,5.304945,-3.95613165
5.3,1,6.133398,5.292400,-3.89187730
6.5,1,6.133398,3.799302,1.44651890
5.1,1,6.133398,3.828859,-0.59954755
5.2,2,6.226537,4.835011,-3.81521395
5.4,2,6.226537,4.807131,-3.68365314
5.4,3,6.226537,5.626829,-2.33072740
5.4,3,6.226537,5.626829,-4.24484192
5.3,3,6.226537,5.625569,-4.66146544
4.8,1,6.226537,5.692047,-6.17673445
6.3,3,6.226537,5.543535,-2.62813519
6.1,2,6.226537,5.523858,-3.22210604
6.1,3,6.226537,4.966056,-1.76984143
5.5,1,6.226537,5.031418,-3.22905243
5.4,2,6.226537,5.115296,-3.39284238
6.0,2,6.576470,2.066863,1.90021021
6.0,2,6.366470,1.435085,2.75804599
6.0,2,6.927558,1.609438,2.18683748
5.3,1,6.297109,4.332574,-1.15683480
6.5,1,6.297109,5.646118,-1.35413700
5.1,1,6.297109,5.654172,-4.19478387
6.0,2,6.139885,2.014903,1.84834457
4.7,2,6.139885,2.517696,-1.04534644
6.4,1,6.139885,4.769837,-0.50193196
4.5,2,6.139885,2.772589,-1.30537819
5.3,1,6.139885,4.314550,-1.16873437
6.5,1,6.139885,5.655257,-1.33632394
4.8,2,5.659482,3.862833,-0.27217624
4.8,2,5.971262,3.786460,-1.93336912
4.5,2,5.971262,2.873565,-0.08955279
4.9,1,5.971262,4.695925,-2.52112675
4.6,1,5.971262,3.873282,-1.36508096
5.3,2,5.720312,5.474579,-4.35138104
5.8,3,5.720312,5.455535,-3.64176689
5.8,1,5.720312,5.464340,-2.44874446
4.1,2,6.270988,3.828641,-2.39637942
4.1,2,6.270988,3.063391,-1.46967597
4.8,2,6.270988,2.653242,-1.48170455
5.1,2,6.270988,3.558201,-0.74910396
5.5,2,6.270988,4.519285,-2.12427156
5.4,2,6.270988,4.474264,-2.12703642
4.3,2,5.488938,2.360854,1.41461453
5.4,2,6.371612,5.103701,-2.68513478
5.2,2,6.371612,4.677770,-1.23977271
5.4,2,6.371612,4.697749,-0.57561306
5.4,3,6.371612,4.311470,-1.07613677
5.3,3,6.371612,4.325985,-1.65109359
4.8,1,6.371612,4.943854,-3.01986105
6.1,2,6.371612,5.033766,-1.44413536
5.0,3,6.371612,5.421685,-4.10566844
5.3,3,6.371612,5.143475,-2.71047815
6.1,3,6.371612,5.447125,-0.72941705
5.5,1,6.371612,5.505535,-3.19909771
5.4,2,6.371612,5.509024,-2.71961684
5.2,2,6.369901,4.671520,-1.00676264
5.4,2,6.369901,4.691623,-0.50698302
5.4,3,6.369901,4.307707,-1.11017893
5.3,3,6.369901,4.321347,-1.90380897
4.8,1,6.369901,4.949681,-2.76072339
6.1,2,6.369901,5.028279,-1.31945848
5.0,3,6.369901,5.417300,-4.13604194
5.3,3,6.369901,5.138911,-2.64699273
6.1,3,6.369901,5.442851,-0.87299181
5.5,1,6.369901,5.501503,-3.03980956
5.4,2,6.369901,5.504966,-2.74941922
4.5,2,6.021023,1.824549,-0.01002003
5.8,3,5.961005,5.538515,-2.28966887
5.4,3,5.961005,4.266616,-0.31105988
5.3,3,5.961005,4.277777,-0.85294042
4.8,1,5.961005,4.980107,-2.14089150
6.3,3,5.961005,4.915152,-0.41943220
6.1,2,5.961005,4.999237,-0.85773884
5.0,3,5.961005,5.398706,-3.46829919
5.3,3,5.961005,5.113252,-2.13309552
6.1,3,5.961005,5.427502,-0.27083807
5.5,1,5.961005,5.487076,-2.37579040
5.4,2,5.961005,5.489888,-1.90750708
6.0,1,6.248043,0.871293,3.98268648
5.1,1,6.363028,4.898809,-3.47680494
5.0,3,6.363028,5.461923,-4.52719114
5.2,2,6.363028,5.426579,-4.46828193
5.3,2,6.363028,5.426667,-4.48863237
5.8,3,6.363028,5.318267,-4.01988665
5.8,1,6.363028,5.668432,-2.95814751
4.8,1,6.363028,5.407979,-4.47844943
5.4,2,6.363028,3.177220,0.49262092
5.3,2,6.363028,3.403860,-1.32745958
6.1,1,6.363028,5.162727,-1.71036383
5.4,3,6.363028,5.206421,-3.63019554
6.0,1,6.363028,5.205763,-1.54079844
5.2,2,6.363028,5.189674,-3.88523503
5.3,1,6.363028,4.842217,-2.08554010
5.1,1,6.363028,5.253895,-3.72024629
5.3,2,6.363028,4.382651,-1.31111268
5.2,1,6.363028,4.397531,-1.66902869
5.3,1,6.363028,4.365516,-2.00730694
6.5,1,6.363028,5.117575,-0.60133402
5.1,1,6.363028,5.120506,-2.99541232
5.0,1,6.363028,5.137914,-3.70399309
5.0,1,6.363028,5.176715,-4.26891226
6.0,2,6.297109,2.433613,0.83247425
4.6,1,6.648985,3.594569,-1.20247393
5.2,2,5.726848,2.714695,1.74492988
5.1,1,6.180017,5.391398,-3.45434503
5.2,2,6.180017,5.497127,-3.73337485
5.8,3,6.180017,5.395308,-3.21073406
